"data";"valor"
"01/03/2018";"12,9"
"01/04/2018";"0,5"
"01/05/2018";"4,5"
"01/06/2018";"8,8"
"01/07/2018";"9,9"
"01/08/2018";"10,5"
"01/09/2018";"5,1"
"01/10/2018";"9,8"
"01/11/2018";"7,9"
"01/12/2018";"6,0"
"01/01/2019";"1,7"
"01/02/2019";"2,9"
"01/03/2019";"13,5"
"01/04/2019";"1,1"
"01/05/2019";"4,0"
"01/06/2019";"0,5"
"01/07/2019";"1,9"
"01/08/2019";"4,4"
"01/09/2019";"3,8"
"01/10/2019";"4,9"
"01/11/2019";"3,2"
"01/12/2019";"-3,2"
"01/01/2020";"5,1"
"01/02/2020";"5,0"
"01/03/2020";"-7,8"
"01/04/2020";"-5,2"
"01/05/2020";"-4,5"
"01/06/2020";"28,6"
"01/07/2020";"12,9"
"01/08/2020";"5,0"
"01/09/2020";"-1,9"
"01/10/2020";"-14,8"
"01/11/2020";"0,5"
"01/12/2020";"1,6"
"01/01/2021";"-6,8"
"01/02/2021";"1,4"
"01/03/2021";"2,8"
"01/04/2021";"11,4"
"01/05/2021";"3,4"
"01/06/2021";"6,7"
"01/07/2021";"3,5"
"01/08/2021";"21,1"
"01/09/2021";"5,2"
"01/10/2021";"1,7"
"01/11/2021";"5,4"
"01/12/2021";"4,9"
"01/01/2022";"4,1"
"01/02/2022";"3,8"
"01/03/2022";"8,2"
"01/04/2022";"3,0"
"01/05/2022";"5,4"
"01/06/2022";"10,9"
"01/07/2022";"5,6"
"01/08/2022";"2,2"
"01/09/2022";"6,4"
"01/10/2022";"16,3"
"01/11/2022";"17,0"
"01/12/2022";"3,9"
"01/01/2023";"3,8"
"01/02/2023";"-0,6"
"01/03/2023";"4,7"
"01/04/2023";"5,7"
"01/05/2023";"26,5"
"01/06/2023";"18,0"
"01/07/2023";"0,0"
"01/08/2023";"1,7"
"01/09/2023";"4,5"
"01/10/2023";"-3,3"
"01/11/2023";"-0,8"
"01/12/2023";"1,5"
"01/01/2024";"3,7"
"01/02/2024";"1,9"
"01/03/2024";"0,2"
"01/04/2024";"10,9"
"01/05/2024";"6,0"
"01/06/2024";"0,7"
"01/07/2024";"11,3"
"01/08/2024";"9,7"
"01/09/2024";"-5,5"
"01/10/2024";"4,6"
"01/11/2024";"13,3"
"01/12/2024";"18,8"
"01/01/2025";"7,4"
"01/02/2025";"4,3"
"01/03/2025";"3,6"
"01/04/2025";"13,5"
