"data";"valor"
"01/01/1995";"-10,1"
"01/02/1995";"-5,9"
"01/03/1995";"-11,8"
"01/04/1995";"-11,5"
"01/05/1995";"-4,7"
"01/06/1995";"-10,2"
"01/07/1995";"-26,9"
"01/08/1995";"-9,2"
"01/09/1995";"-5,5"
"01/10/1995";"-3,3"
"01/11/1995";"12,6"
"01/12/1995";"-3,8"
"01/01/1996";"0,3"
"01/02/1996";"5,1"
"01/03/1996";"12,0"
"01/04/1996";"5,6"
"01/05/1996";"-18,6"
"01/06/1996";"-10,4"
"01/07/1996";"-12,5"
"01/08/1996";"-2,3"
"01/09/1996";"3,9"
"01/10/1996";"-11,6"
"01/11/1996";"-3,8"
"01/12/1996";"-3,2"
"01/01/1997";"-12,1"
"01/02/1997";"-3,8"
"01/03/1997";"-1,7"
"01/04/1997";"-13,0"
"01/05/1997";"-30,1"
"01/06/1997";"-29,5"
"01/07/1997";"-19,4"
"01/08/1997";"-19,1"
"01/09/1997";"-9,9"
"01/10/1997";"2,2"
"01/11/1997";"-5,5"
"01/12/1997";"-18,4"
"01/01/1998";"-4,2"
"01/02/1998";"-4,2"
"01/03/1998";"-5,4"
"01/04/1998";"-8,8"
"01/05/1998";"-8,1"
"01/06/1998";"5,0"
"01/07/1998";"-2,6"
"01/08/1998";"-6,1"
"01/09/1998";"-23,4"
"01/10/1998";"-12,8"
"01/11/1998";"3,8"
"01/12/1998";"35,4"
"01/01/1999";"5,8"
"01/02/1999";"10,6"
"01/03/1999";"-16,7"
"01/04/1999";"-10,6"
"01/05/1999";"4,0"
"01/06/1999";"6,8"
"01/07/1999";"10,9"
"01/08/1999";"7,4"
"01/09/1999";"115,7"
"01/10/1999";"39,7"
"01/11/1999";"56,7"
"01/12/1999";"21,0"
"01/01/2000";"33,8"
"01/02/2000";"60,9"
"01/03/2000";"-10,1"
"01/04/2000";"2,4"
"01/05/2000";"23,8"
"01/06/2000";"-5,1"
"01/07/2000";"72,0"
"01/08/2000";"17,7"
"01/09/2000";"-15,4"
"01/10/2000";"-3,4"
"01/11/2000";"-3,4"
"01/12/2000";"21,2"
"01/01/2001";"-2,1"
"01/02/2001";"-17,8"
"01/03/2001";"1,1"
"01/04/2001";"2,7"
"01/05/2001";"-20,3"
"01/06/2001";"-3,1"
"01/07/2001";"-3,8"
"01/08/2001";"1,2"
"01/09/2001";"9,1"
"01/10/2001";"-4,2"
"01/11/2001";"5,7"
"01/12/2001";"9,0"
"01/01/2002";"22,9"
"01/02/2002";"0,9"
"01/03/2002";"5,5"
"01/04/2002";"-9,9"
"01/05/2002";"-14,4"
"01/06/2002";"-17,1"
"01/07/2002";"-6,7"
"01/08/2002";"11,4"
"01/09/2002";"8,6"
"01/10/2002";"-10,6"
"01/11/2002";"-11,8"
"01/12/2002";"9,3"
"01/01/2003";"-3,2"
"01/02/2003";"-2,3"
"01/03/2003";"-7,2"
"01/04/2003";"-8,4"
"01/05/2003";"11,0"
"01/06/2003";"-4,2"
"01/07/2003";"-9,8"
"01/08/2003";"-2,8"
"01/09/2003";"-15,2"
"01/10/2003";"-26,7"
"01/11/2003";"-4,9"
"01/12/2003";"-17,8"
"01/01/2004";"14,0"
"01/02/2004";"16,0"
"01/03/2004";"-21,8"
"01/04/2004";"-26,2"
"01/05/2004";"-17,2"
"01/06/2004";"-23,8"
"01/07/2004";"-27,9"
"01/08/2004";"-25,3"
"01/09/2004";"-33,0"
"01/10/2004";"-24,5"
"01/11/2004";"-30,5"
"01/12/2004";"-34,3"
"01/01/2005";"-3,5"
"01/02/2005";"-3,4"
"01/03/2005";"-35,8"
"01/04/2005";"-16,5"
"01/05/2005";"-26,9"
"01/06/2005";"-57,9"
"01/07/2005";"-25,4"
"01/08/2005";"-25,4"
"01/09/2005";"-25,4"
"01/10/2005";"-38,3"
"01/11/2005";"-81,6"
"01/12/2005";"61,2"
"01/01/2006";"27,1"
"01/02/2006";"20,6"
"01/03/2006";"4,1"
"01/04/2006";"-23,7"
"01/05/2006";"-27,1"
"01/06/2006";"-28,6"
"01/07/2006";"-41,3"
"01/08/2006";"64,8"
"01/09/2006";"-30,2"
"01/10/2006";"-16,3"
"01/11/2006";"57,9"
"01/12/2006";"-6,6"
"01/01/2007";"29,8"
"01/02/2007";"-5,5"
"01/03/2007";"24,3"
"01/04/2007";"3,4"
"01/05/2007";"4,0"
"01/06/2007";"-30,4"
"01/07/2007";"5,9"
"01/08/2007";"5,0"
"01/09/2007";"-15,1"
"01/10/2007";"-30,5"
"01/11/2007";"18,9"
"01/12/2007";"8,6"
"01/01/2008";"43,9"
"01/02/2008";"17,8"
"01/03/2008";"20,5"
"01/04/2008";"28,6"
"01/05/2008";"30,3"
"01/06/2008";"9,9"
"01/07/2008";"48,7"
"01/08/2008";"50,6"
"01/09/2008";"6,4"
"01/10/2008";"108,9"
"01/11/2008";"-20,0"
"01/12/2008";"89,5"
"01/01/2009";"83,1"
"01/02/2009";"63,9"
"01/03/2009";"61,6"
"01/04/2009";"48,2"
"01/05/2009";"11,4"
"01/06/2009";"145,3"
"01/07/2009";"70,8"
"01/08/2009";"40,2"
"01/09/2009";"10,3"
"01/10/2009";"67,3"
"01/11/2009";"-25,8"
"01/12/2009";"38,3"
"01/01/2010";"6,2"
"01/02/2010";"9,4"
"01/03/2010";"0,7"
"01/04/2010";"7,2"
"01/05/2010";"-1,2"
"01/06/2010";"3,4"
"01/07/2010";"34,7"
"01/08/2010";"15,5"
"01/09/2010";"13,3"
"01/10/2010";"11,7"
"01/11/2010";"8,6"
"01/12/2010";"-13,0"
"01/01/2011";"-1,2"
"01/02/2011";"2,0"
"01/03/2011";"10,2"
"01/04/2011";"-11,5"
"01/05/2011";"-8,5"
"01/06/2011";"28,7"
"01/07/2011";"21,4"
"01/08/2011";"3,8"
"01/09/2011";"6,5"
"01/10/2011";"-17,9"
"01/11/2011";"0,6"
"01/12/2011";"47,3"
"01/01/2012";"-5,5"
"01/02/2012";"6,6"
"01/03/2012";"13,3"
"01/04/2012";"4,2"
"01/05/2012";"-9,7"
"01/06/2012";"10,9"
"01/07/2012";"26,4"
"01/08/2012";"-18,7"
"01/09/2012";"9,1"
"01/10/2012";"46,8"
"01/11/2012";"10,2"
"01/12/2012";"-1,6"
"01/01/2013";"25,4"
"01/02/2013";"-2,5"
"01/03/2013";"11,2"
"01/04/2013";"11,0"
"01/05/2013";"4,3"
"01/06/2013";"2,6"
"01/07/2013";"13,2"
"01/08/2013";"-4,4"
"01/09/2013";"17,0"
"01/10/2013";"3,3"
"01/11/2013";"7,7"
"01/12/2013";"6,8"
"01/01/2014";"4,9"
"01/02/2014";"9,1"
"01/03/2014";"6,3"
"01/04/2014";"2,5"
"01/05/2014";"3,3"
"01/06/2014";"8,2"
"01/07/2014";"13,9"
"01/08/2014";"9,3"
"01/09/2014";"11,3"
"01/10/2014";"4,3"
"01/11/2014";"2,8"
"01/12/2014";"15,0"
"01/01/2015";"0,7"
"01/02/2015";"17,2"
"01/03/2015";"13,2"
"01/04/2015";"2,2"
"01/05/2015";"4,6"
"01/06/2015";"11,8"
"01/07/2015";"8,3"
"01/08/2015";"6,8"
"01/09/2015";"2,7"
"01/10/2015";"12,1"
"01/11/2015";"11,6"
"01/12/2015";"11,1"
"01/01/2016";"12,9"
"01/02/2016";"13,5"
"01/03/2016";"11,8"
"01/04/2016";"16,8"
"01/05/2016";"14,7"
"01/06/2016";"-0,6"
"01/07/2016";"7,2"
"01/08/2016";"9,3"
"01/09/2016";"10,3"
"01/10/2016";"6,4"
"01/11/2016";"-0,6"
"01/12/2016";"9,4"
"01/01/2017";"3,7"
"01/02/2017";"4,3"
"01/03/2017";"12,4"
"01/04/2017";"5,7"
"01/05/2017";"8,9"
"01/06/2017";"8,7"
"01/07/2017";"8,9"
"01/08/2017";"14,6"
"01/09/2017";"14,6"
"01/10/2017";"-3,2"
"01/11/2017";"11,5"
"01/12/2017";"12,4"
"01/01/2018";"6,3"
"01/02/2018";"4,4"
